position,artist,track,album,duration,date
1,Fuerza Regida,Marlboro Rojo,111XPANTIA,184,2025-06-14
2,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-14
3,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-14
4,Jimin,Who,MUSE,170,2025-06-14
5,Sabrina Carpenter,Manchild,Manchild,213,2025-06-14
6,Benson Boone,Mystical Magical,Mystical Magical,165,2025-06-14
7,Kendrick Lamar,All The Stars (w/ SZA),Still Over It,231,2025-06-14
8,The Weeknd,Timeless (w/ Playboi Carti),2014 Forest Hills Drive,292,2025-06-14
9,Arctic Monkeys,I Wanna Be Yours,AM,183,2025-06-14
10,Sabrina Carpenter,Espresso,Espresso,175,2025-06-14
11,ROSÉ,APT. (w/ Bruno Mars),24K Magic,281,2025-06-14
12,The Neighbourhood,Sweater Weather,I Love You.,240,2025-06-14
13,Ed Sheeran,Sapphire,Sapphire,179,2025-06-14
14,Coldplay,Yellow,Parachutes,266,2025-06-14
15,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-14
16,Gracie Abrams,That’s So True,The Secret of Us (Deluxe),166,2025-06-14
17,NIKI,You'll Be in My Heart - Spotify Singles,,0,2025-06-14
18,WizTheMc,Show Me Love (w/ bees & honey),Suntub,228,2025-06-14
19,"Tyler, The Creator",See You Again (w/ Kali Uchis),,0,2025-06-14
20,Beéle,no tiene sentido,BORONDO,159,2025-06-14
