position,artist,track,album,duration,date
1,Jin,Don’t Say You Love Me,Echo,180,2025-06-08
2,Ravyn Lenae,Love Me Not,Love Me Not / Love Is Blind,213,2025-06-08
3,MOLIY,"Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)",,0,2025-06-08
4,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-08
5,"W Sound,La Plena","W Sound 05 (w/ Beéle, Ovy On The Drums)",La Plena (W Sound 05),150,2025-06-08
6,Gigi Perez,Sailor Song,Sailor Song,211,2025-06-08
7,The Goo Goo Dolls,Iris,Dizzy up the Girl,289,2025-06-08
8,sombr,back to friends,back to friends,199,2025-06-08
9,Alex Warren,Ordinary,Ordinary,186,2025-06-08
10,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-08
11,KAROL G,Si Antes Te Hubiera Conocido,Si Antes Te Hubiera Conocido,195,2025-06-08
12,Arctic Monkeys,I Wanna Be Yours,AM,183,2025-06-08
13,NIKI,You'll Be in My Heart - Spotify Singles,,0,2025-06-08
14,Fuerza Regida,TU SANCHO,111XPANTIA,178,2025-06-08
15,Bad Bunny,BAILE INoLVIDABLE,DeBÍ TiRAR MáS FOToS,367,2025-06-08
16,The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)",,0,2025-06-08
17,Gracie Abrams,That’s So True,The Secret of Us (Deluxe),166,2025-06-08
18,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-08
19,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-08
20,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-08
