position,artist,track,album,duration,date
1,Levi Heron,The Glen,The Glen (Levi Heron Edit),173,2025-06-18
2,The Beach Boys,Sloop John B,Pet Sounds,183,2025-06-18
3,Max McNown,Same Questions,Same Questions,192,2025-06-18
4,Roddy Ricch,Underdog,Underdog (From F1® The Movie),142,2025-06-18
5,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-18
6,Ed Sheeran,Old Phone	,Old Phone,221,2025-06-18
7,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-18
8,The Beach Boys,I Get Around,The Very Best Of The Beach Boys: Sounds Of Summer,132,2025-06-18
9,Teddy Swims,The Door,I've Tried Everything But Therapy (Part 1),212,2025-06-18
10,Alison Goldfrapp,Sound & Light,Flux,198,2025-06-18
11,Lil Wayne & Nicki Minaj,Banned From NO	,Tha Carter VI (Bonus),204,2025-06-18
12,Ed Sheeran,Sapphire	,Sapphire,179,2025-06-18
13,Doechii,Anxiety,Anxiety,249,2025-06-18
14,Teddy Swims,Bad Dreams,Bad Dreams,184,2025-06-18
15,Lady Gaga & Bruno Mars,Die With A Smile,Belong Together,148,2025-06-18
16,j-hope & GloRilla,Killin' It Girl	,,0,2025-06-18
17,The Beach Boys,God Only Knows	,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-18
18,Ed Sheeran,Azizam,Azizam,162,2025-06-18
19,Stray Kids,Hollow,Hollow,209,2025-06-18
20,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-18
