position,artist,track,album,duration,date
1,Clairo,Juna,Charm,195,2025-06-03
2,Morgan Wallen,What I Want,I’m The Problem,184,2025-06-03
3,Shaboozey,Good News,Good News,199,2025-06-03
4,Dua Lipa,Houdini,Houdini,185,2025-06-03
5,Post Malone,I Had Some Help,I Had Some Help,178,2025-06-03
6,Myles Smith,Stargazing,Stargazing,172,2025-06-03
7,Doechii,Anxiety,Anxiety,249,2025-06-03
8,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-03
9,Lola Young,Messy,Messy,284,2025-06-03
10,Alex Warren,Ordinary,Ordinary,186,2025-06-03
11,Rosé,APT.,APT.,169,2025-06-03
12,Lady Gaga,Die With A Smile,Die With A Smile,250,2025-06-03
13,Shaboozey,A Bar Song (Tipsy),A Bar Song (Tipsy),171,2025-06-03
14,Kendrick Lamar,luther,GNX,178,2025-06-03
15,Miley Cyrus,End of the World,End of the World,250,2025-06-03
16,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-03
17,Sabrina Carpenter,Taste,Short n' Sweet,157,2025-06-03
18,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-03
19,Marshmello,Miles On It,Miles On It,168,2025-06-03
20,Michael Marcagi,Scared To Start,Scared To Start,159,2025-06-03
