position,artist,track,album,duration,date
1,"W Sound,La Plena","W Sound 05 (w/ Beéle, Ovy On The Drums)",La Plena (W Sound 05),150,2025-06-07
2,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-07
3,Ravyn Lenae,Love Me Not,Love Me Not / Love Is Blind,213,2025-06-07
4,MOLIY,"Shake It To The Max (FLY) - Remix (w/ Silent Addy, Skillibeng, Shenseea)",,0,2025-06-07
5,Jin,Don’t Say You Love Me,Echo,180,2025-06-07
6,Fuerza Regida,TU SANCHO,111XPANTIA,178,2025-06-07
7,The Goo Goo Dolls,Iris,Dizzy up the Girl,289,2025-06-07
8,Alex Warren,Ordinary,Ordinary,186,2025-06-07
9,Gigi Perez,Sailor Song,Sailor Song,211,2025-06-07
10,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-07
11,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-07
12,Gracie Abrams,That’s So True,The Secret of Us (Deluxe),166,2025-06-07
13,KAROL G,Si Antes Te Hubiera Conocido,Si Antes Te Hubiera Conocido,195,2025-06-07
14,The Weeknd,"One Of The Girls (w/ JENNIE, Lily-Rose Depp)",,0,2025-06-07
15,NIKI,You'll Be in My Heart - Spotify Singles,,0,2025-06-07
16,Bad Bunny,BAILE INoLVIDABLE,DeBÍ TiRAR MáS FOToS,367,2025-06-07
17,Sabrina Carpenter,Espresso,Espresso,175,2025-06-07
18,ROSÉ,APT. (w/ Bruno Mars),24K Magic,281,2025-06-07
19,Benson Boone,Mystical Magical,Mystical Magical,165,2025-06-07
20,Sabrina Carpenter,Manchild,Manchild,213,2025-06-07
