position,artist,track,album,duration,date
1,Charli xcx,Apple,BRAT,151,2025-06-09
2,Shaboozey,Good News,Good News,199,2025-06-09
3,Justice,Neverender,Hyperdrama,266,2025-06-09
4,Dua Lipa,Houdini,Houdini,185,2025-06-09
5,Post Malone,I Had Some Help,I Had Some Help,178,2025-06-09
6,Billie Eilish,BIRDS OF A FEATHER,HIT ME HARD AND SOFT,210,2025-06-09
7,Charli xcx,360,BRAT,133,2025-06-09
8,Gracie Abrams,"I Love You, I'm Sorry",The Secret of Us,157,2025-06-09
9,Sabrina Carpenter,Espresso,Espresso,175,2025-06-09
10,Tate McRae,It's ok I'm ok,It's ok I'm ok,157,2025-06-09
11,Shaboozey,A Bar Song (Tipsy),A Bar Song (Tipsy),171,2025-06-09
12,Jack Harlow,Lovin On Me,Lovin On Me,138,2025-06-09
13,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-09
14,Alex Warren,Ordinary,Ordinary,186,2025-06-09
15,Myles Smith,Stargazing,Stargazing,172,2025-06-09
16,Morgan Wallen,Love Somebody,Love Somebody,205,2025-06-09
17,Michael Marcagi,Scared To Start,Scared To Start,159,2025-06-09
18,Ariana Grande,we can't be friends (wait for your love),eternal sunshine,230,2025-06-09
19,Morgan Wallen,What I Want,I’m The Problem,184,2025-06-09
20,Dasha,Not At This Party,Not At This Party,212,2025-06-09
