position,artist,track,album,duration,date
1,ROSÉ & Bruno Mars,APT.,APT.,169,2025-06-11
2,Bruce Springsteen,Sunday Love	,Sunday Love,316,2025-06-11
3,twenty one pilots,The Contract,The Contract,228,2025-06-11
4,Lola Young,Messy,Messy,284,2025-06-11
5,Lady Gaga,Abracadabra,Abracadabra,223,2025-06-11
6,Sabrina Carpenter,Manchild,Manchild,213,2025-06-11
7,Ati242,Her Nerdeysen,Manifesto,149,2025-06-11
8,The Beach Boys,Surfin' U.S.A.,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-11
9,Alex Warren,Ordinary,Ordinary,186,2025-06-11
10,Chris Brown,Holy Blindfold,Breezy (Deluxe),158,2025-06-11
11,The Beach Boys,Wouldn't It Be Nice,The Very Best Of The Beach Boys: Sounds Of Summer,153,2025-06-11
12,j-hope,Killin' It Girl,MONA LISA,137,2025-06-11
13,Stephen Wilson Jr.,Stand By Me,søn of dad (deluxe),247,2025-06-11
14,Disturbed,The Sound of Silence,The Sound of Silence (CYRIL Remix),185,2025-06-11
15,"MOLIY, Silent Addy, Skillibeng & Shenseea",Shake It To The Max,Shake It To The Max (FLY) [Remix],178,2025-06-11
16,Lady Gaga,Always Remember Us This Way,A Star Is Born Soundtrack,210,2025-06-11
17,Benson Boone,Sorry I'm Here For Someone Else,Sorry I'm Here For Someone Else,156,2025-06-11
18,The Beach Boys,California Girls,The Very Best Of The Beach Boys: Sounds Of Summer,163,2025-06-11
19,Benson Boone,Mystical Magical,Mystical Magical,165,2025-06-11
20,Tommy Cash,Espresso Macchiato,Espresso Macchiato,173,2025-06-11
