position,artist,track,album,duration,date
1,WizTheMc,Show Me Love (w/ bees & honey),Suntub,228,2025-06-18
2,The Police,Every Breath You Take,Synchronicity (Remastered 2003),253,2025-06-18
3,Charli xcx,party 4 u,how i'm feeling now,296,2025-06-18
4,Lady Gaga,Die With A Smile (w/ Bruno Mars),24K Magic,281,2025-06-18
5,Morgan Wallen,What I Want (w/ Tate McRae),,0,2025-06-18
6,Ed Sheeran,Azizam,Azizam,162,2025-06-18
7,Lola Young,Messy,Messy,284,2025-06-18
8,Beéle,no tiene sentido,BORONDO,159,2025-06-18
9,Bad Bunny,DtMF,DeBÍ TiRAR MáS FOToS,237,2025-06-18
10,Bad Bunny,EoO,DeBÍ TiRAR MáS FOToS,204,2025-06-18
11,Fourtwnty,Mangu (w/ Charita Utami),,0,2025-06-18
12,Coldplay,Yellow,Parachutes,266,2025-06-18
13,ROSÉ,APT. (w/ Bruno Mars),24K Magic,281,2025-06-18
14,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album),,0,2025-06-18
15,Billie Eilish,WILDFLOWER,HIT ME HARD AND SOFT,261,2025-06-18
16,The Neighbourhood,Sweater Weather,I Love You.,240,2025-06-18
17,sombr,undressed,undressed,182,2025-06-18
18,Jimin,Who,MUSE,170,2025-06-18
19,Sabrina Carpenter,Espresso,Espresso,175,2025-06-18
20,The Weeknd,Timeless (w/ Playboi Carti),2014 Forest Hills Drive,292,2025-06-18
