position,artist,track,album,duration,date
1,Morgan Wallen,Love Somebody,Love Somebody,205,2025-06-14
2,David Guetta,Beautiful People,Beautiful People,187,2025-06-14
3,Michael Marcagi,Scared To Start,Scared To Start,159,2025-06-14
4,Madison Beer,Make You Mine,Make You Mine,220,2025-06-14
5,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-14
6,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-14
7,Ariana Grande,we can't be friends (wait for your love),eternal sunshine,230,2025-06-14
8,Myles Smith,Stargazing,Stargazing,172,2025-06-14
9,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-14
10,Miley Cyrus,End of the World,End of the World,250,2025-06-14
11,Shaboozey,A Bar Song (Tipsy),A Bar Song (Tipsy),171,2025-06-14
12,Beyoncé,TEXAS HOLD 'EM,TEXAS HOLD 'EM,233,2025-06-14
13,Mark Ambor,Belong Together,Belong Together,148,2025-06-14
14,Dasha,Not At This Party,Not At This Party,212,2025-06-14
15,The Marías,No One Noticed,Submarine,236,2025-06-14
16,Sabrina Carpenter,Please Please Please,Please Please Please,186,2025-06-14
17,Alex Warren,Ordinary,Ordinary,186,2025-06-14
18,Lola Young,Messy,Messy,284,2025-06-14
19,Tate McRae,It's ok I'm ok,It's ok I'm ok,157,2025-06-14
20,Djo,End of Beginning,DECIDE,159,2025-06-14
