position,artist,track,album,duration,date
1,Clairo,Juna,Charm,195,2025-06-02
2,Morgan Wallen,What I Want,I’m The Problem,184,2025-06-02
3,Shaboozey,Good News,Good News,199,2025-06-02
4,Dua Lipa,Houdini,Houdini,185,2025-06-02
5,Doechii,Anxiety,Anxiety,249,2025-06-02
6,Benson Boone,Beautiful Things,Beautiful Things,180,2025-06-02
7,Lola Young,Messy,Messy,284,2025-06-02
8,Alex Warren,Ordinary,Ordinary,186,2025-06-02
9,Rosé,APT.,APT.,169,2025-06-02
10,Lady Gaga,Die With A Smile,Die With A Smile,250,2025-06-02
11,Shaboozey,A Bar Song (Tipsy),A Bar Song (Tipsy),171,2025-06-02
12,Kendrick Lamar,luther,GNX,178,2025-06-02
13,Miley Cyrus,End of the World,End of the World,250,2025-06-02
14,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-02
15,Sabrina Carpenter,Taste,Short n' Sweet,157,2025-06-02
16,Teddy Swims,Lose Control,I've Tried Everything But Therapy (Part 1),210,2025-06-02
17,Post Malone,I Had Some Help,I Had Some Help,178,2025-06-02
18,Marshmello,Miles On It,Miles On It,168,2025-06-02
19,Michael Marcagi,Scared To Start,Scared To Start,159,2025-06-02
20,Myles Smith,Stargazing,Stargazing,172,2025-06-02
