position,artist,track,album,duration,date
1,The Beach Boys,Wouldn't It Be Nice,The Very Best Of The Beach Boys: Sounds Of Summer,153,2025-06-13
2,Tommy Cash,Espresso Macchiato,Espresso Macchiato,173,2025-06-13
3,The Beach Boys,California Girls,The Very Best Of The Beach Boys: Sounds Of Summer,163,2025-06-13
4,Benson Boone,Sorry I'm Here For Someone Else,Sorry I'm Here For Someone Else,156,2025-06-13
5,Chris Brown,Holy Blindfold,Breezy (Deluxe),158,2025-06-13
6,"MOLIY, Silent Addy, Skillibeng & Shenseea",Shake It To The Max,Shake It To The Max (FLY) [Remix],178,2025-06-13
7,j-hope,Killin' It Girl,MONA LISA,137,2025-06-13
8,Lady Gaga,Always Remember Us This Way,A Star Is Born Soundtrack,210,2025-06-13
9,ROSÉ & Bruno Mars,APT.,APT.,169,2025-06-13
10,Sabrina Carpenter,Manchild,Manchild,213,2025-06-13
11,twenty one pilots,The Contract,The Contract,228,2025-06-13
12,Lola Young,Messy,Messy,284,2025-06-13
13,Bruce Springsteen,Sunday Love	,Sunday Love,316,2025-06-13
14,East Duo,ჩუბინა,ჩუბინა,90,2025-06-13
15,The Beach Boys,Surfin' U.S.A.,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-13
16,Ati242,Her Nerdeysen,Manifesto,149,2025-06-13
17,Lil Wayne & Nicki Minaj,Banned From NO	,Tha Carter VI (Bonus),204,2025-06-13
18,Lady Gaga,Abracadabra,Abracadabra,223,2025-06-13
19,The Beach Boys,God Only Knows	,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-13
20,Connie Francis,Pretty Little Baby,Second Hand Love,144,2025-06-13
