position,artist,track,album,duration,date
1,Connie Francis,Pretty Little Baby,Second Hand Love,144,2025-06-09
2,Stephen Wilson Jr.,Stand By Me,søn of dad (deluxe),247,2025-06-09
3,David Guetta & Sia,Beautiful People,Beautiful People,187,2025-06-09
4,The Beach Boys,Surfin' U.S.A.,The Very Best Of The Beach Boys: Sounds Of Summer,150,2025-06-09
5,Disturbed,The Sound of Silence,The Sound of Silence (CYRIL Remix),185,2025-06-09
6,Alex Warren,Ordinary,Ordinary,186,2025-06-09
7,Chappell Roan,Pink Pony Club,The Rise and Fall of a Midwest Princess,258,2025-06-09
8,Calvin Harris & Clementine Douglas,Blessings	,Blessings,220,2025-06-09
9,twenty one pilots,The Contract,The Contract,228,2025-06-09
10,Ati242,Her Nerdeysen,Manifesto,149,2025-06-09
11,Miley Cyrus,End of the World,End of the World,250,2025-06-09
12,Bruce Springsteen,Sunday Love	,Sunday Love,316,2025-06-09
13,Lola Young,Messy,Messy,284,2025-06-09
14,Lady Gaga,Abracadabra,Abracadabra,223,2025-06-09
15,Drake,NOKIA,$ome $exy $ongs 4 U,241,2025-06-09
16,Sabrina Carpenter,Manchild,Manchild,213,2025-06-09
17,Tommy Cash,Espresso Macchiato,Espresso Macchiato,173,2025-06-09
18,Benson Boone,Mystical Magical,Mystical Magical,165,2025-06-09
19,ROSÉ & Bruno Mars,APT.,APT.,169,2025-06-09
20,ATEEZ,Lemon Drop,THE WORLD EP.FIN : WILL,198,2025-06-09
