position,artist,track,album,duration,date
1,Kendrick Lamar,luther,GNX,178,2025-06-23
2,Chappell Roan,"Good Luck, Babe!","Good Luck, Babe!",218,2025-06-23
3,Lord Huron,The Night We Met,Strange Trails,208,2025-06-23
4,Neton Vega,Morena (w/ Peso Pluma),ÉXODO,130,2025-06-23
5,sombr,undressed,undressed,182,2025-06-23
6,Ed Sheeran,Azizam,Azizam,162,2025-06-23
7,The Police,Every Breath You Take,Synchronicity (Remastered 2003),253,2025-06-23
8,Lady Gaga,Die With A Smile (w/ Bruno Mars),24K Magic,281,2025-06-23
9,Charli xcx,party 4 u,how i'm feeling now,296,2025-06-23
10,Tate McRae,Just Keep Watching (From F1® The Movie) (w/ F1 The Album),,0,2025-06-23
11,Bad Bunny,EoO,DeBÍ TiRAR MáS FOToS,204,2025-06-23
12,Fourtwnty,Mangu (w/ Charita Utami),,0,2025-06-23
13,Beéle,no tiene sentido,BORONDO,159,2025-06-23
14,WizTheMc,Show Me Love (w/ bees & honey),Suntub,228,2025-06-23
15,Jimin,Who,MUSE,170,2025-06-23
16,Bad Bunny,DtMF,DeBÍ TiRAR MáS FOToS,237,2025-06-23
17,Sabrina Carpenter,Manchild,Manchild,213,2025-06-23
18,Sabrina Carpenter,Espresso,Espresso,175,2025-06-23
19,The Weeknd,Timeless (w/ Playboi Carti),2014 Forest Hills Drive,292,2025-06-23
20,Morgan Wallen,What I Want (w/ Tate McRae),,0,2025-06-23
